PAPER_TITLE,DOI,YEAR,OPEN_ACCESS_OA,FUNDING_OA,AUTHOR_NAME,AUTHOR_POS_OA,IS_CORRESPONDING_OA,AFFILIATION_OA,GEO_COUNTRY_OA,AUTHOR_ID_OA,ORCID,WORKS_COUNT_OA,CITATIONS_OA,HINDEX_OA,I10INDEX_OA,2YR_MEAN_OA,KEYWORDS_OA,PMID_PM,MESH_PM,FUNDING_PM,AUTHOR_NAME_PM,AFFILIATION_PM,AUTHOR_ID_SC,AUTHOR_NAME_SC,AFFILIATION_SC,FUNDING_SC,INFLUENTIAL_CITATIONS_SS,CITATION_CONTEXTS_SS,AUTHOR_ID_SS,AUTHOR_NAME_SS,ORCID_SS,HINDEX_SS,CITATIONS_SS,HINDEX_SC,CITATIONS_SC,DOC_COUNT_SC,SUBJECT_AREAS_SC,SENIORITY_SC,AUTHOR_ID_GS,INTERESTS_GS,ORCID_EMPLOYMENT,GENDER,PROFILE_CLASSIFICATION
Moving beyond the empty cell: The threat of decontextualized healthcare data,10.1371/journal.pdig.0001194,2026,True,No data,Aya El Mir,first,True,New York University Abu Dhabi,AE,A5113001208,No data,3,1,1,0,0.0,"Context (archaeology), Data science, Health care, Citizen journalism, Corporate governance",41528993,No data,No data,Aya El Mir,"Department of Engineering, New York University Abu Dhabi, Abu Dhabi, United Arab Emirates.",58540969400,Aya El Mir,60104576,No data,0,,2299698551,A. El Mir,NO_ORCID_SS,0,0,2,6,0,Health Informatics | Computer Science Applications | Instrumentation | Media Technology | Computer Vision and Pattern Recognition | Signal Processing | Clinical Biochemistry | Biomedical Engineering | Medical Laboratory Technology | Artificial Intelligence,Unknown,pyOhpi0AAAAJ,Machine Learning | Healthcare | Data Science | Responsible AI,No ORCID ID,Female,HYBRID_MED_TECH | Female
Moving beyond the empty cell: The threat of decontextualized healthcare data,10.1371/journal.pdig.0001194,2026,True,No data,Eric Bezerra de Sousa,middle,False,Universidade de São Paulo,BR,A5122952106,No data,2,0,0,0,0.0,"Context (archaeology), Data science, Health care, Citizen journalism, Corporate governance",41528993,No data,No data,Eric Bezerra de Sousa,"Faculty of Medicine, University of Sao Paulo, Sao Paulo, Brazil.",60373474500,Eric Bezerra de Sousa,60008088,No data,0,,2404426878,Eric Bezerra de Sousa,NO_ORCID_SS,0,0,0,0,0,Health Informatics,Unknown,NOT_FOUND,NOT_INDEXED_IN_GS,No ORCID ID,Male,HYBRID_MED_TECH | Male
Moving beyond the empty cell: The threat of decontextualized healthcare data,10.1371/journal.pdig.0001194,2026,True,No data,Ignacio Mesina-Estarrón,middle,False,Children's Hospital of Orange County,US,A5122918927,No data,5,0,0,0,0.0,"Context (archaeology), Data science, Health care, Citizen journalism, Corporate governance",41528993,No data,No data,Ignacio Mesina-Estarrón,"Department of Neurosurgery, Children's Hospital of Orange County, Orange, California, United States of America.",59194358900,Ignacio Mesina-Estarrón,60006322,No data,0,,2335963945,NOT_FOUND_IN_SS,NO_ORCID_SS,2,12,2,10,0,Medicine (all) | Multidisciplinary | Orthopedics and Sports Medicine | Surgery | Critical Care and Intensive Care Medicine | Health Informatics | Neurology (clinical),Unknown,dJ1cLxcAAAAJ,Neurosurgery,No ORCID ID,Male,CLINICAL | Male
Moving beyond the empty cell: The threat of decontextualized healthcare data,10.1371/journal.pdig.0001194,2026,True,No data,Leo Anthony Celi,middle,False,Beth Israel Deaconess Medical Center,US,A5122921033,No data,2,0,0,0,0.0,"Context (archaeology), Data science, Health care, Citizen journalism, Corporate governance",41528993,No data,No data,Leo Anthony Celi,"Laboratory for Computational Physiology, Massachusetts Institute of Technology, Massachusetts, United States of America.",16033282700,Leo Anthony Celi,60022195,No data,0,,2268647689,NOT_FOUND_IN_SS,NO_ORCID_SS,13,875,67,30564,0,"Neuroscience (all) | Information Systems | Microbiology | Epidemiology | Clinical Biochemistry | Pollution | Computer Graphics and Computer-Aided Design | Biochemistry, Genetics and Molecular Biology (all) | Transplantation | Statistics, Probability and Uncertainty | Sociology and Political Science | Physiology | Pharmaceutical Science | Hematology | Radiological and Ultrasound Technology | Mechanical Engineering | Computational Theory and Mathematics | Pathology and Forensic Medicine | Instrumentation | Nephrology | Pulmonary and Respiratory Medicine | Cell Biology | Political Science and International Relations | Dentistry (miscellaneous) | Advanced and Specialized Nursing | Statistics and Probability | Family Practice | Radiology, Nuclear Medicine and Imaging | Hepatology | Health (social science) | Pharmacology | Respiratory Care | Artificial Intelligence | Multidisciplinary | Ophthalmology | Emergency Medicine | Software | Critical Care Nursing | Engineering (miscellaneous) | Applied Mathematics | Linguistics and Language | Computer Networks and Communications | Electrical and Electronic Engineering | Infectious Diseases | Modeling and Simulation | Orthopedics and Sports Medicine | Health Information Management | Endocrinology, Diabetes and Metabolism | Economics, Econometrics and Finance (all) | Emergency Nursing | Surgery | Health Professions  (all) | Developmental Biology | Nursing (all) | Aging | Drug Discovery | Microbiology (medical) | Public Health, Environmental and Occupational Health | Cardiology and Cardiovascular Medicine | Education | Medical and Surgical Nursing | Health Policy | Agricultural and Biological Sciences (all) | Signal Processing | Pharmacy | Computer Vision and Pattern Recognition | Leadership and Management | Environmental Science (all) | Atmospheric Science | Health, Toxicology and Mutagenesis | Biophysics | Oncology | Computer Science (all) | Anesthesiology and Pain Medicine | Physiology (medical) | Geriatrics and Gerontology | Physical Therapy, Sports Therapy and Rehabilitation | Engineering (all) | Control and Systems Engineering | Language and Linguistics | Environmental Science (miscellaneous) | Biochemistry (medical) | Library and Information Sciences | Internal Medicine | Psychiatry and Mental Health | Endocrinology | Toxicology | Human-Computer Interaction | Cancer Research | Neurology (clinical) | Biomedical Engineering | Dermatology | Management Science and Operations Research | Business, Management and Accounting (all) | Theoretical Computer Science | Gastroenterology | Virology | Materials Science (all) | Sensory Systems | Medicine (all) | Assessment and Diagnosis | Issues, Ethics and Legal Aspects | Obstetrics and Gynecology | Health Informatics | Molecular Biology | Physics and Astronomy (all) | Oncology (nursing) | Information Systems and Management | Decision Sciences (miscellaneous) | Medicine (miscellaneous) | Chemistry (all) | Pharmacology (medical) | Critical Care and Intensive Care Medicine | Public Administration | Biotechnology | Social Sciences (miscellaneous) | Hardware and Architecture | Computer Science Applications",Unknown,kssA7YwAAAAJ,No explicit interests listed,No ORCID ID,Male,HYBRID_MED_TECH | Male
Moving beyond the empty cell: The threat of decontextualized healthcare data,10.1371/journal.pdig.0001194,2026,True,No data,Moad Hani,middle,False,University of Mons,BE,A5043121269,0000-0003-2342-495X,15,54,3,2,0.0,"Context (archaeology), Data science, Health care, Citizen journalism, Corporate governance",41528993,No data,No data,Moad Hani,"Department of Computer Engineering and Management, Faculty of Engineering, University of Mons (UMONS), Mons, Belgium.",57802343600,Moad Hani,60010758,No data,0,,2173972786,Moad Hani,NO_ORCID_SS,3,37,3,54,0,"Computer Networks and Communications | Hardware and Architecture | Electrical and Electronic Engineering | Control and Systems Engineering | Mathematics (all) | Computer Science (all) | Signal Processing | Information Systems and Management | Health Informatics | Safety, Risk, Reliability and Quality | Information Systems",Unknown,NOT_FOUND,NOT_INDEXED_IN_GS,No employment data listed in ORCID,Male,COMPUTER_SCIENCE | Male
Moving beyond the empty cell: The threat of decontextualized healthcare data,10.1371/journal.pdig.0001194,2026,True,No data,Mohammed Benjelloun,middle,False,University of Mons,BE,A5122961672,No data,1,0,0,0,0.0,"Context (archaeology), Data science, Health care, Citizen journalism, Corporate governance",41528993,No data,No data,Mohammed Benjelloun,"Department of Computer Engineering and Management, Faculty of Engineering, University of Mons (UMONS), Mons, Belgium.",7003659283,Mohammed Benjelloun,60010758,No data,0,,2378648967,Mohammed Benjelloun,NO_ORCID_SS,1,8,19,1289,0,"Biomaterials | Mechanical Engineering | Transportation | Medicine (all) | Hardware and Architecture | Information Systems and Management | Instrumentation | Computers in Earth Sciences | Transplantation | Environmental Science (all) | Signal Processing | Oncology | Computer Science (all) | Genetics | Information Systems | Education | Surgery | Computer Graphics and Computer-Aided Design | Electronic, Optical and Magnetic Materials | Atmospheric Science | Aerospace Engineering | Industrial and Manufacturing Engineering | Computer Vision and Pattern Recognition | Analytical Chemistry | Public Health, Environmental and Occupational Health | Law | Health Professions  (all) | Biochemistry, Genetics and Molecular Biology (all) | Electrical and Electronic Engineering | Computational Theory and Mathematics | Physics and Astronomy (all) | Engineering (miscellaneous) | Statistics, Probability and Uncertainty | Communication | Health Informatics | Computer Science Applications | Radiological and Ultrasound Technology | Applied Mathematics | Atomic and Molecular Physics, and Optics | Materials Science (all) | Nuclear Energy and Engineering | Theoretical Computer Science | Cognitive Neuroscience | Radiology, Nuclear Medicine and Imaging | Computer Networks and Communications | Mathematics (all) | Cancer Research | Condensed Matter Physics | Biomedical Engineering | Environmental Engineering | Earth and Planetary Sciences (all) | Human-Computer Interaction | Artificial Intelligence | Management Science and Operations Research | Software | Biochemistry | Physics and Astronomy (miscellaneous) | Management, Monitoring, Policy and Law | Mathematical Physics | Engineering (all) | Control and Systems Engineering | Media Technology",Unknown,NOT_FOUND,NOT_INDEXED_IN_GS,No ORCID ID,Male,COMPUTER_SCIENCE | Male
Moving beyond the empty cell: The threat of decontextualized healthcare data,10.1371/journal.pdig.0001194,2026,True,No data,Neha Nageswaran,middle,False,Carl von Ossietzky Universität Oldenburg,DE,A5119520252,No data,3,0,0,0,0.0,"Context (archaeology), Data science, Health care, Citizen journalism, Corporate governance",41528993,No data,No data,Neha Nageswaran,"Robotic Assistant Systems, Carl von Ossietzky Universität Oldenburg, Oldenburg, Germany.",60373178200,Neha Nageswaran,60020306,No data,0,,2404427101,Neha Nageswaran,NO_ORCID_SS,0,0,0,0,0,Health Informatics,Unknown,NOT_FOUND,NOT_INDEXED_IN_GS,No ORCID ID,Female,HYBRID_MED_TECH | Female
Moving beyond the empty cell: The threat of decontextualized healthcare data,10.1371/journal.pdig.0001194,2026,True,No data,Saïd Mahmoudi,middle,False,University of Mons,BE,A5122922334,No data,5,0,0,0,0.0,"Context (archaeology), Data science, Health care, Citizen journalism, Corporate governance",41528993,No data,No data,Saïd Mahmoudi,"Department of Computer Engineering and Management, Faculty of Engineering, University of Mons (UMONS), Mons, Belgium.",16177658000,Saïd Mahmoudi,60010758,No data,0,,2270089272,NOT_FOUND_IN_SS,NO_ORCID_SS,3,22,31,2760,0,"Artificial Intelligence | Health Informatics | Software | Analytical Chemistry | Computer Networks and Communications | Management Information Systems | Human-Computer Interaction | Engineering (miscellaneous) | Electronic, Optical and Magnetic Materials | Modeling and Simulation | Theoretical Computer Science | Electrical and Electronic Engineering | Multidisciplinary | Industrial and Manufacturing Engineering | Hardware and Architecture | Radiological and Ultrasound Technology | Computational Mathematics | Communication | Information Systems and Management | Surgery | Physics and Astronomy (all) | Atomic and Molecular Physics, and Optics | Geography, Planning and Development | Medical Laboratory Technology | Signal Processing | Health Professions  (all) | Computer Science (miscellaneous) | Social Sciences (miscellaneous) | Numerical Analysis | Computer Science (all) | Safety, Risk, Reliability and Quality | Automotive Engineering | Agricultural and Biological Sciences (all) | Computer Vision and Pattern Recognition | Computer Graphics and Computer-Aided Design | Information Systems | Library and Information Sciences | Medicine (all) | Computer Science Applications | Animal Science and Zoology | Management of Technology and Innovation | Decision Sciences (miscellaneous) | Mechanical Engineering | Biomaterials | Control and Optimization | Condensed Matter Physics | Acoustics and Ultrasonics | Psychiatry and Mental Health | Media Technology | Statistics, Probability and Uncertainty | Computational Theory and Mathematics | Engineering (all) | Control and Systems Engineering | Mechanics of Materials | Biomedical Engineering | Instrumentation | Mathematics (all) | Radiology, Nuclear Medicine and Imaging | Biochemistry, Genetics and Molecular Biology (all)",Unknown,NOT_FOUND,NOT_INDEXED_IN_GS,No ORCID ID,Male,COMPUTER_SCIENCE | Male
Moving beyond the empty cell: The threat of decontextualized healthcare data,10.1371/journal.pdig.0001194,2026,True,No data,Shaheen Siddiqui,middle,False,Koo & Associates International (United States),US,A5046595444,0000-0003-4372-9793,13,174,8,6,0.0,"Context (archaeology), Data science, Health care, Citizen journalism, Corporate governance",41528993,No data,No data,Shaheen Siddiqui,"GeneSilico, Inc., Austin, Texas, United States of America.",60373621100,Shaheen Siddiqui,No affiliation,No data,0,,2404427752,Shaheen Siddiqui,NO_ORCID_SS,1,1,0,0,0,Health Informatics,Unknown,NOT_FOUND,NOT_INDEXED_IN_GS,No employment data listed in ORCID,Unknown,BIOINFORMATICS | Unknown
Moving beyond the empty cell: The threat of decontextualized healthcare data,10.1371/journal.pdig.0001194,2026,True,No data,Sreeram Sadasivam,middle,False,Software (Germany),DE,A5122927195,No data,2,0,0,0,0.0,"Context (archaeology), Data science, Health care, Citizen journalism, Corporate governance",41528993,No data,No data,Sreeram Sadasivam,"Software Engineering, EGYM, Munich, Germany.",60373324200,Sreeram Sadasivam,133736463,No data,0,,31439501,Sreeram Sadasivam,NO_ORCID_SS,1,9,0,0,0,Health Informatics,Unknown,NOT_FOUND,NOT_INDEXED_IN_GS,No ORCID ID,Male,COMPUTER_SCIENCE | Male
