FIELD,POPULATED_RECORDS,TOTAL_RECORDS,COVERAGE_PERCENT
PAPER_TITLE,7361,7361,100.0
DOI,7361,7361,100.0
YEAR,7361,7361,100.0
OPEN_ACCESS_OA,7361,7361,100.0
FUNDING_OA,3199,7361,43.5
AUTHOR_NAME,7361,7361,100.0
AUTHOR_POS_OA,7213,7361,98.0
IS_CORRESPONDING_OA,7361,7361,100.0
AFFILIATION_OA,6664,7361,90.5
GEO_COUNTRY_OA,6353,7361,86.3
AUTHOR_ID_OA,7121,7361,96.7
WORKS_COUNT_OA,7361,7361,100.0
CITATIONS_OA,7361,7361,100.0
HINDEX_OA,7361,7361,100.0
I10INDEX_OA,7361,7361,100.0
2YR_MEAN_OA,7361,7361,100.0
TOPICS_OA,6825,7361,92.7
PRIMARY_TOPIC_OA,7070,7361,96.0
KEYWORDS_OA,7070,7361,96.0
PMID_PM,4085,7361,55.5
MESH_PM,3049,7361,41.4
FUNDING_PM,1670,7361,22.7
AUTHOR_NAME_PM,914,7361,12.4
AFFILIATION_PM,914,7361,12.4
INFLUENTIAL_CITATIONS_SS,7361,7361,100.0
CITATION_CONTEXTS_SS,0,7361,0.0
AUTHOR_ID_SS,6541,7361,88.9
AUTHOR_NAME_SS,6542,7361,88.9
ORCID_SS,61,7361,0.8
HINDEX_SS,7360,7361,100.0
CITATIONS_SS,7360,7361,100.0
ORCID,4928,7361,66.9
ORCID_EMPLOYMENT,7361,7361,100.0
GENDER,6341,7361,86.1
PROFILE_CLASSIFICATION,7361,7361,100.0
