AUTHOR_KEY,AFFILIATION_REGION,HINDEX_OA,CITATIONS_OA,WORKS_COUNT_OA
oa:A5057810294,Outside Africa,279,357494,1648
oa:A5055183685,Outside Africa,210,193673,1806
oa:A5072258594,Outside Africa,208,232655,2965
oa:A5100606557,Outside Africa,202,193166,3618
oa:A5100606557,Africa,202,193166,3618
oa:A5073216705,Africa,196,298233,3670
oa:A5108167595,Outside Africa,169,160862,3312
oa:A5035759872,Outside Africa,159,96421,620
oa:A5002758767,Outside Africa,159,166769,773
oa:A5061926369,Outside Africa,154,104371,2219
oa:A5007290128,Outside Africa,153,265345,1056
oa:A5009149756,Outside Africa,151,98874,1483
oa:A5030573483,Outside Africa,150,242865,1173
oa:A5011709769,Outside Africa,149,109111,1540
oa:A5074179735,Outside Africa,148,89505,1138
oa:A5062707241,Africa,147,110304,1819
oa:A5036110536,Outside Africa,147,98048,1313
oa:A5083242280,Outside Africa,146,77852,766
oa:A5115010691,Outside Africa,146,83675,954
oa:A5055286510,Outside Africa,142,76777,744
oa:A5013031947,Outside Africa,140,209085,1055
oa:A5011519020,Outside Africa,139,89984,888
oa:A5010398999,Outside Africa,136,93805,582
oa:A5025168089,Outside Africa,133,73392,461
oa:A5057916222,Outside Africa,126,83441,1981
oa:A5024475260,Outside Africa,124,129055,863
oa:A5059951020,Outside Africa,123,87944,677
oa:A5050838768,Outside Africa,121,80842,1030
oa:A5086133175,Outside Africa,121,53156,697
oa:A5021449162,Africa,120,92509,706
oa:A5091832416,Outside Africa,118,86794,1356
oa:A5032933669,Outside Africa,117,99508,1063
oa:A5013069844,Outside Africa,115,122766,438
oa:A5065914659,Outside Africa,115,68936,1202
oa:A5030054670,Outside Africa,114,49511,704
oa:A5076591561,Outside Africa,114,56740,1034
oa:A5037469384,Outside Africa,110,59770,784
oa:A5091844787,Outside Africa,109,40266,629
oa:A5000299641,Outside Africa,108,196897,788
oa:A5061672339,Outside Africa,106,41141,792
oa:A5017195443,Outside Africa,106,64132,356
oa:A5002528924,Africa,105,118247,965
oa:A5042982766,Outside Africa,105,69471,713
oa:A5022380857,Outside Africa,104,51557,939
oa:A5012501139,Outside Africa,104,38298,839
oa:A5052245802,Outside Africa,103,44471,754
oa:A5031904244,Africa,103,211137,546
oa:A5035769308,Outside Africa,102,48061,616
oa:A5079027751,Outside Africa,101,38064,875
oa:A5007251193,Outside Africa,101,54557,1167
oa:A5044111018,Outside Africa,100,42023,1758
oa:A5082192669,Outside Africa,99,35552,808
oa:A5037297600,Outside Africa,98,40969,1087
oa:A5051193242,Outside Africa,98,41209,445
oa:A5028972835,Outside Africa,97,44810,559
oa:A5074160945,Outside Africa,97,34299,702
oa:A5067261122,Outside Africa,97,43887,765
oa:A5034103150,Outside Africa,97,39408,538
oa:A5034721063,Outside Africa,97,34976,615
oa:A5050868235,Outside Africa,95,47522,555
oa:A5067269418,Outside Africa,95,34291,1052
oa:A5083885093,Outside Africa,95,33391,650
oa:A5043369631,Africa,95,38227,908
oa:A5051696115,Outside Africa,94,44825,859
oa:A5026971838,Outside Africa,93,50604,424
oa:A5006492499,Outside Africa,93,31834,424
oa:A5019781190,Outside Africa,93,37439,899
oa:A5041320761,Outside Africa,92,33590,560
oa:A5063934370,Outside Africa,91,129572,603
oa:A5002779288,Outside Africa,90,127094,416
oa:A5068522936,Outside Africa,90,122865,425
oa:A5010458603,Outside Africa,89,30806,693
oa:A5057217204,Africa,88,32744,555
oa:A5057217204,Outside Africa,88,32744,555
oa:A5044618648,Outside Africa,87,26379,622
oa:A5100662025,Outside Africa,87,38373,734
oa:A5081603649,Outside Africa,87,50362,699
oa:A5085432173,Africa,86,35333,1276
oa:A5101692794,Outside Africa,86,35006,792
oa:A5027055033,Outside Africa,86,28702,770
oa:A5011836054,Outside Africa,86,36578,475
oa:A5089077811,Outside Africa,85,26743,901
oa:A5023403556,Outside Africa,85,40861,810
oa:A5012668362,Outside Africa,84,24487,457
oa:A5054839489,Outside Africa,83,30509,674
oa:A5051373841,Outside Africa,83,34284,540
oa:A5048847860,Outside Africa,82,22461,613
oa:A5040291161,Outside Africa,82,26451,615
oa:A5003259452,Outside Africa,81,31702,720
oa:A5018175714,Outside Africa,81,136758,447
oa:A5024821010,Outside Africa,81,29402,659
oa:A5041831296,Outside Africa,81,23704,747
oa:A5030769814,Outside Africa,81,85869,758
oa:A5012391609,Outside Africa,80,30903,358
oa:A5100710942,Outside Africa,80,20023,376
oa:A5062211930,Outside Africa,80,28395,1094
oa:A5020019905,Outside Africa,80,29748,476
oa:A5086084955,Outside Africa,80,26353,714
oa:A5023528221,Africa,80,32557,574
oa:A5091908088,Outside Africa,80,25189,614
oa:A5016857233,Outside Africa,79,37129,460
oa:A5047874976,Outside Africa,79,23791,573
oa:A5002784988,Outside Africa,79,26094,357
oa:A5089456652,Outside Africa,78,31728,543
oa:A5011205980,Outside Africa,78,31644,226
oa:A5033034869,Outside Africa,78,26987,599
oa:A5073990841,Outside Africa,77,22966,662
oa:A5002144152,Outside Africa,77,23731,437
oa:A5064593386,Africa,77,35337,394
oa:A5031401755,Outside Africa,77,38798,750
oa:A5066434934,Outside Africa,76,25751,980
oa:A5110572572,Outside Africa,76,38203,229
oa:A5036065803,Outside Africa,76,22358,670
oa:A5014019290,Outside Africa,76,20789,2112
oa:A5029582839,Outside Africa,76,17360,583
oa:A5088222987,Outside Africa,76,25525,447
oa:A5001170851,Africa,75,22313,463
oa:A5044189909,Outside Africa,75,25220,491
oa:A5082142520,Outside Africa,75,24925,428
oa:A5074213191,Outside Africa,75,22317,515
oa:A5000985289,Africa,75,17887,404
oa:A5036207362,Outside Africa,74,35674,284
oa:A5086354724,Africa,74,24025,395
oa:A5083951614,Outside Africa,73,26186,260
oa:A5001094886,Outside Africa,73,21932,294
oa:A5084102341,Outside Africa,73,22649,384
oa:A5072555008,Outside Africa,73,35950,444
oa:A5053107270,Africa,73,15672,536
oa:A5040573284,Outside Africa,72,36908,304
oa:A5015981897,Outside Africa,72,24469,872
oa:A5049205174,Outside Africa,72,26351,727
oa:A5034196986,Outside Africa,70,18718,677
oa:A5037551185,Outside Africa,70,18413,503
oa:A5056436780,Africa,69,17938,335
oa:A5038822755,Outside Africa,69,18802,361
oa:A5070997624,Outside Africa,69,17832,413
oa:A5043412155,Outside Africa,69,24647,978
oa:A5042913057,Outside Africa,69,18184,244
oa:A5059704237,Outside Africa,69,30462,494
oa:A5022196539,Outside Africa,68,21836,525
oa:A5006025400,Outside Africa,68,20264,336
oa:A5067064038,Outside Africa,68,14214,240
oa:A5064136287,Outside Africa,68,29298,1037
oa:A5054640156,Outside Africa,68,19589,436
oa:A5053685870,Outside Africa,67,17890,449
oa:A5056039026,Outside Africa,67,71802,353
oa:A5029175176,Outside Africa,67,18040,442
oa:A5051434121,Outside Africa,67,14790,436
oa:A5027313965,Outside Africa,67,15647,388
oa:A5037287149,Outside Africa,67,17823,1087
oa:A5102783997,Outside Africa,67,19709,427
oa:A5026872836,Outside Africa,67,23159,300
oa:A5003407293,Outside Africa,67,20055,354
oa:A5073750953,Outside Africa,67,34880,285
oa:A5066330260,Outside Africa,66,28466,336
oa:A5056679565,Outside Africa,66,16589,420
oa:A5074967283,Africa,66,19790,514
oa:A5064963974,Outside Africa,66,15281,520
oa:A5002827290,Outside Africa,66,21618,648
oa:A5053435376,Outside Africa,66,28439,1049
oa:A5015082475,Outside Africa,66,16797,377
oa:A5022367224,Outside Africa,66,16995,428
oa:A5112151716,Outside Africa,65,36770,223
oa:A5069686854,Outside Africa,65,18436,319
oa:A5002985304,Outside Africa,65,21833,482
oa:A5026299628,Outside Africa,64,12779,339
oa:A5032703538,Outside Africa,64,14921,310
oa:A5068573034,Outside Africa,64,13368,314
oa:A5079874250,Outside Africa,64,13310,365
oa:A5062757576,Outside Africa,64,20297,724
oa:A5065787198,Outside Africa,64,25214,513
oa:A5012709162,Outside Africa,64,17928,516
oa:A5021323660,Outside Africa,63,18402,401
oa:A5025392131,Outside Africa,63,16172,324
oa:A5009781874,Africa,63,24544,683
oa:A5014542175,Outside Africa,63,13517,288
oa:A5029606860,Outside Africa,62,13259,443
oa:A5085096438,Outside Africa,62,31028,461
oa:A5084750013,Outside Africa,62,12630,301
oa:A5068955381,Outside Africa,62,97028,155
oa:A5034853815,Outside Africa,62,16808,822
oa:A5028788213,Outside Africa,61,35981,254
oa:A5102935340,Outside Africa,61,11126,325
oa:A5059238344,Outside Africa,61,13737,306
oa:A5091005808,Outside Africa,60,13700,881
oa:A5017659667,Outside Africa,60,14786,251
oa:A5088330134,Outside Africa,60,21658,259
oa:A5100616618,Outside Africa,60,12816,625
oa:A5081678536,Outside Africa,60,12982,302
oa:A5090704136,Outside Africa,60,13751,503
oa:A5011657274,Outside Africa,60,15085,455
oa:A5055418983,Outside Africa,60,10050,225
oa:A5067091689,Africa,60,9657,224
oa:A5056251028,Outside Africa,59,11052,336
oa:A5042339914,Outside Africa,59,11969,235
oa:A5089526272,Outside Africa,59,11676,495
oa:A5073995883,Outside Africa,59,15643,440
oa:A5046258353,Outside Africa,58,13331,493
oa:A5050679668,Outside Africa,58,9995,390
oa:A5085839891,Outside Africa,58,13228,397
oa:A5009282836,Outside Africa,58,12520,365
oa:A5081383005,Outside Africa,58,13041,417
oa:A5089600920,Outside Africa,58,12308,359
oa:A5007250735,Outside Africa,58,12605,349
oa:A5014668607,Outside Africa,58,27976,373
oa:A5069453953,Africa,58,14528,456
oa:A5001212991,Outside Africa,58,12763,461
oa:A5021547657,Africa,57,60349,576
oa:A5074629800,Outside Africa,57,11115,527
oa:A5071832113,Outside Africa,57,10608,302
oa:A5020317036,Outside Africa,57,9185,315
oa:A5012421719,Africa,57,11759,406
oa:A5045963637,Outside Africa,57,14036,464
oa:A5024247404,Outside Africa,57,14631,438
oa:A5100754273,Outside Africa,57,9960,399
oa:A5019896304,Outside Africa,56,11877,426
oa:A5076721108,Outside Africa,56,16972,212
oa:A5039318240,Outside Africa,56,14727,801
oa:A5021389231,Outside Africa,56,11319,270
oa:A5047157394,Outside Africa,56,14086,642
oa:A5061523469,Outside Africa,56,11066,266
oa:A5001122545,Outside Africa,56,13038,393
oa:A5043208701,Outside Africa,56,12966,552
oa:A5049449184,Outside Africa,55,13860,804
oa:A5065128060,Outside Africa,55,17964,307
oa:A5041382058,Outside Africa,55,82147,270
oa:A5031284141,Outside Africa,55,14214,272
oa:A5100689057,Outside Africa,55,13815,492
oa:A5078519359,Africa,55,11690,178
oa:A5070289351,Outside Africa,54,93062,289
oa:A5045359397,Outside Africa,54,10446,322
oa:A5007245626,Outside Africa,54,16375,276
oa:A5108139013,Outside Africa,54,8976,336
oa:A5077397137,Africa,54,9321,269
oa:A5108139013,Africa,54,8976,336
oa:A5073273696,Outside Africa,54,12550,390
oa:A5059512015,Outside Africa,54,9849,377
oa:A5025118287,Outside Africa,54,11957,370
oa:A5013928164,Outside Africa,54,19768,289
oa:A5015849613,Outside Africa,54,10011,270
oa:A5101829868,Outside Africa,53,9240,138
oa:A5074585037,Outside Africa,53,15346,272
oa:A5054229773,Outside Africa,53,11943,294
oa:A5075485449,Outside Africa,53,9278,216
oa:A5005550476,Outside Africa,53,16225,420
oa:A5081652342,Outside Africa,53,10121,255
oa:A5013850648,Outside Africa,53,14713,282
oa:A5087345370,Outside Africa,53,10232,273
oa:A5022933070,Outside Africa,53,10894,246
oa:A5108166951,Outside Africa,53,10482,375
oa:A5012222691,Outside Africa,53,13603,188
oa:A5067795081,Outside Africa,53,9241,317
oa:A5086401706,Outside Africa,53,8642,195
oa:A5031335329,Outside Africa,53,10081,137
oa:A5010534406,Outside Africa,53,10594,465
oa:A5047703641,Africa,52,10492,716
oa:A5100359839,Outside Africa,52,12000,633
oa:A5027815153,Outside Africa,52,13228,182
oa:A5031412055,Outside Africa,52,11979,345
oa:A5084119337,Outside Africa,52,8552,218
oa:A5040702751,Outside Africa,52,9342,248
oa:A5075450684,Outside Africa,52,55369,334
oa:A5032970480,Outside Africa,52,9376,308
oa:A5090625854,Outside Africa,52,9526,161
oa:A5039150236,Outside Africa,52,16904,114
oa:A5064378549,Outside Africa,52,8547,281
oa:A5064215032,Outside Africa,52,10103,300
oa:A5070724386,Outside Africa,52,13929,192
oa:A5074054769,Outside Africa,52,13083,538
oa:A5055899543,Outside Africa,52,10562,221
oa:A5068271733,Africa,52,8664,329
oa:A5026110190,Outside Africa,51,13011,517
oa:A5024509508,Outside Africa,51,8028,219
oa:A5031077871,Outside Africa,51,8430,254
oa:A5067624332,Outside Africa,51,10024,203
oa:A5045534879,Africa,51,11033,316
oa:A5037397919,Africa,51,13169,853
oa:A5025470510,Outside Africa,51,12195,176
oa:A5028385241,Outside Africa,51,9732,218
oa:A5019818778,Outside Africa,51,11847,286
oa:A5009630093,Outside Africa,51,8069,256
oa:A5086052373,Outside Africa,51,15952,278
oa:A5058496818,Outside Africa,51,7760,247
oa:A5040544030,Outside Africa,51,11758,373
oa:A5060873310,Outside Africa,50,8443,306
oa:A5033034428,Outside Africa,50,10192,374
oa:A5021421539,Outside Africa,50,8380,238
oa:A5028420721,Africa,50,9132,413
oa:A5008946746,Outside Africa,50,8212,213
oa:A5090244480,Outside Africa,50,109144,214
oa:A5016425494,Outside Africa,50,8673,248
oa:A5036957543,Outside Africa,50,14085,166
oa:A5008946746,Africa,50,8212,213
oa:A5007644018,Outside Africa,50,9676,265
oa:A5047477860,Outside Africa,50,8234,326
oa:A5052265483,Africa,49,9415,179
oa:A5067605571,Outside Africa,49,8859,272
oa:A5058080028,Outside Africa,49,7478,301
oa:A5100609965,Outside Africa,49,8697,472
oa:A5047982506,Outside Africa,49,9372,712
oa:A5087391518,Africa,49,9064,237
oa:A5053613060,Africa,49,13393,1013
oa:A5084214981,Outside Africa,49,10144,341
oa:A5073895350,Outside Africa,49,10715,519
oa:A5087391518,Outside Africa,49,9064,237
oa:A5049225932,Outside Africa,49,8488,201
oa:A5012354604,Outside Africa,49,13062,301
oa:A5002753099,Outside Africa,49,9244,463
oa:A5100351117,Outside Africa,49,9720,438
oa:A5017405820,Outside Africa,49,10696,246
oa:A5021305119,Outside Africa,49,8190,180
oa:A5012579181,Outside Africa,49,14412,241
oa:A5108001959,Outside Africa,49,13538,122
oa:A5074359287,Outside Africa,49,14244,188
oa:A5091127899,Outside Africa,48,8728,489
oa:A5079348738,Outside Africa,48,9478,275
oa:A5026645719,Africa,48,8133,313
oa:A5008442458,Outside Africa,48,13730,315
oa:A5038957518,Africa,48,16928,151
oa:A5060873940,Africa,48,11389,250
oa:A5091127899,Africa,48,8728,489
oa:A5052880291,Outside Africa,48,6923,446
oa:A5005689123,Outside Africa,48,8489,324
oa:A5074599271,Africa,48,8001,220
oa:A5103201189,Outside Africa,48,7119,180
oa:A5088401912,Outside Africa,48,12700,284
oa:A5017862417,Outside Africa,48,8320,152
oa:A5006464992,Outside Africa,48,9153,124
oa:A5020631772,Outside Africa,48,9153,207
oa:A5056050648,Outside Africa,47,10100,199
oa:A5006443274,Outside Africa,47,7369,465
oa:A5053133512,Outside Africa,47,17441,147
oa:A5087171327,Africa,47,14028,218
oa:A5078784976,Outside Africa,47,16461,266
oa:A5000748853,Outside Africa,47,11089,209
oa:A5069851925,Outside Africa,47,11877,132
oa:A5058693284,Outside Africa,47,8558,343
oa:A5081281059,Outside Africa,47,6666,236
oa:A5024133138,Outside Africa,47,8479,257
oa:A5101958058,Outside Africa,47,7841,175
oa:A5042805664,Outside Africa,47,8703,472
oa:A5000420548,Outside Africa,47,7682,453
oa:A5006443274,Africa,47,7369,465
oa:A5108729718,Africa,46,5896,376
oa:A5016155551,Outside Africa,46,12749,253
oa:A5017365268,Outside Africa,46,8982,391
oa:A5062007467,Outside Africa,46,8089,336
oa:A5027472030,Outside Africa,46,7936,263
oa:A5010326846,Outside Africa,46,7398,231
oa:A5032357963,Outside Africa,46,10161,165
oa:A5046896094,Outside Africa,46,8072,174
oa:A5065018446,Outside Africa,46,8197,210
oa:A5064904760,Outside Africa,46,11744,290
oa:A5001108821,Outside Africa,46,7605,191
oa:A5110637876,Africa,46,7288,550
oa:A5006942560,Outside Africa,46,26594,262
oa:A5045467327,Africa,46,6516,143
oa:A5107868862,Outside Africa,46,6620,268
oa:A5055574658,Outside Africa,46,7453,471
oa:A5015723926,Africa,46,8039,266
oa:A5015682532,Outside Africa,46,7350,384
oa:A5087642110,Africa,46,9488,310
oa:A5037331113,Outside Africa,46,7191,322
oa:A5084177841,Outside Africa,46,7363,469
oa:A5090996360,Outside Africa,46,8916,435
oa:A5114377743,Outside Africa,45,6808,363
oa:A5062145040,Outside Africa,45,9262,219
oa:A5047918826,Outside Africa,45,8884,316
oa:A5071375747,Outside Africa,45,10671,128
oa:A5060172197,Outside Africa,45,15643,343
oa:A5045071979,Outside Africa,45,6491,250
oa:A5021148033,Outside Africa,45,7089,259
oa:A5021016946,Outside Africa,45,8174,223
oa:A5047893323,Outside Africa,45,7870,241
oa:A5036852338,Outside Africa,45,5713,186
oa:A5042119018,Outside Africa,45,6015,230
oa:A5078636406,Outside Africa,45,7233,362
oa:A5040908982,Outside Africa,45,7145,316
oa:A5027216516,Outside Africa,45,8015,269
oa:A5049426253,Outside Africa,45,5973,217
oa:A5038423396,Outside Africa,45,10555,286
oa:A5109546429,Africa,44,5964,210
oa:A5046704884,Africa,44,7336,202
oa:A5028874131,Outside Africa,44,8631,352
oa:A5006069892,Outside Africa,44,7751,366
oa:A5032703120,Outside Africa,44,6851,217
oa:A5042123158,Outside Africa,44,6804,336
oa:A5075872270,Africa,44,27177,135
oa:A5102963316,Outside Africa,44,6322,317
oa:A5058941449,Outside Africa,44,6183,155
oa:A5079726770,Outside Africa,44,8918,313
oa:A5080153638,Outside Africa,44,6894,262
oa:A5061153579,Outside Africa,44,7380,159
oa:A5022354267,Africa,44,11545,221
oa:A5035138514,Outside Africa,44,8098,307
oa:A5016707957,Outside Africa,44,13130,194
oa:A5061431545,Outside Africa,44,7238,204
oa:A5007699908,Outside Africa,44,36542,113
oa:A5010294682,Outside Africa,44,6936,223
oa:A5083903120,Outside Africa,44,8015,260
oa:A5034896032,Outside Africa,43,6969,611
oa:A5101555176,Outside Africa,43,8030,164
oa:A5054971303,Outside Africa,43,7215,316
oa:A5083117203,Outside Africa,43,12286,103
oa:A5004970162,Outside Africa,43,6804,310
oa:A5037139875,Outside Africa,43,11400,209
oa:A5012786887,Outside Africa,43,6696,199
oa:A5020501260,Outside Africa,43,6231,171
oa:A5086419390,Outside Africa,43,5640,214
oa:A5078419291,Outside Africa,43,10810,245
oa:A5064481433,Outside Africa,43,6592,207
oa:A5048364034,Africa,43,6211,320
oa:A5024780914,Outside Africa,43,7661,219
oa:A5081773019,Africa,42,6609,381
oa:A5091859381,Outside Africa,42,6789,299
oa:A5029857334,Outside Africa,42,6752,158
oa:A5100422437,Outside Africa,42,16173,342
oa:A5044433770,Outside Africa,42,8002,207
oa:A5081936189,Outside Africa,42,7704,168
oa:A5062872897,Outside Africa,42,8435,146
oa:A5065911146,Outside Africa,42,6511,269
oa:A5025907738,Outside Africa,42,5546,277
oa:A5040800580,Outside Africa,42,8119,545
oa:A5064658327,Outside Africa,42,6413,144
oa:A5063944362,Outside Africa,42,6720,131
oa:A5073072266,Outside Africa,42,6895,140
oa:A5054910477,Outside Africa,42,6124,226
oa:A5004131475,Outside Africa,42,6829,309
oa:A5009408041,Outside Africa,42,13002,145
oa:A5084901792,Africa,42,7658,198
oa:A5033912893,Outside Africa,42,4844,255
oa:A5056803585,Outside Africa,42,6674,271
oa:A5053467873,Outside Africa,42,5924,223
oa:A5023567068,Outside Africa,42,5622,191
oa:A5060361437,Africa,42,7973,618
oa:A5057894101,Outside Africa,42,6416,511
oa:A5010320097,Africa,42,4310,139
oa:A5012511212,Outside Africa,41,6384,271
oa:A5080291510,Outside Africa,41,6655,284
oa:A5037676122,Outside Africa,41,6072,294
oa:A5028834717,Outside Africa,41,6212,336
oa:A5048893079,Outside Africa,41,8466,207
oa:A5100344560,Outside Africa,41,6820,358
oa:A5015205527,Outside Africa,41,5423,241
oa:A5035542400,Outside Africa,41,11400,290
oa:A5086348522,Outside Africa,41,6410,124
oa:A5073880521,Outside Africa,41,7320,186
oa:A5068752835,Outside Africa,41,5919,259
oa:A5065446005,Outside Africa,41,4601,146
oa:A5028421369,Outside Africa,41,5784,268
oa:A5100645455,Outside Africa,41,6830,417
oa:A5009687648,Africa,41,6528,336
oa:A5010315274,Africa,41,5562,194
oa:A5000218612,Africa,40,8249,399
oa:A5015640670,Outside Africa,40,5865,281
