COUNTRY,REGION,PAPERS,AUTHOR_PAPER_RECORDS,DISTINCT_AUTHOR_KEYS,FIRST_AUTHOR_PAPERS,LAST_AUTHOR_PAPERS,CORRESPONDING_AUTHOR_PAPERS
EG,Africa,344,995,751,231,258,234
SA,Outside Africa,194,457,352,75,56,83
US,Outside Africa,129,544,479,44,51,54
IN,Outside Africa,115,378,327,75,23,56
NG,Africa,107,320,268,69,53,62
ET,Africa,97,295,211,63,69,79
MA,Africa,92,364,316,77,76,73
TN,Africa,92,255,220,70,73,66
ZA,Africa,81,216,188,39,45,44
DZ,Africa,76,195,189,61,44,60
GB,Outside Africa,70,187,165,19,25,21
FR,Outside Africa,39,76,68,10,15,15
GH,Africa,38,141,112,29,21,31
CN,Outside Africa,31,162,153,18,10,18
CA,Outside Africa,31,58,49,6,13,9
KR,Outside Africa,31,57,41,1,10,13
KE,Africa,29,86,77,20,15,19
PK,Outside Africa,29,64,60,13,3,10
UG,Africa,28,109,89,16,17,19
JO,Outside Africa,28,48,41,6,3,10
AE,Outside Africa,26,55,50,3,7,8
AU,Outside Africa,22,61,55,6,7,10
DE,Outside Africa,19,81,72,8,7,10
MY,Outside Africa,18,35,35,5,5,5
ES,Outside Africa,17,88,77,2,5,3
IT,Outside Africa,17,48,41,3,6,3
NL,Outside Africa,15,97,83,2,3,2
JP,Outside Africa,13,70,62,2,8,3
RW,Africa,12,38,27,7,9,7
CH,Outside Africa,12,26,24,4,3,5
BE,Outside Africa,11,33,29,4,4,4
BW,Africa,11,19,12,3,3,3
PL,Outside Africa,11,17,14,1,3,5
NO,Outside Africa,10,32,29,2,3,4
BD,Outside Africa,10,24,22,5,4,4
TR,Outside Africa,10,17,14,4,1,4
PT,Outside Africa,9,27,22,1,0,1
SO,Africa,9,27,23,5,8,9
SE,Outside Africa,9,26,23,2,2,4
CM,Africa,9,22,22,6,5,7
IQ,Outside Africa,9,21,21,3,2,4
QA,Outside Africa,9,12,11,1,2,4
ZM,Africa,8,35,28,2,3,2
TZ,Africa,8,22,22,3,5,5
LY,Africa,8,15,14,4,5,5
BR,Outside Africa,7,36,35,2,4,2
HK,Outside Africa,7,30,30,2,2,1
ZW,Africa,7,21,21,4,3,2
MX,Outside Africa,7,9,9,1,0,1
FI,Outside Africa,6,12,8,1,4,1
MU,Africa,5,17,10,2,2,3
IR,Outside Africa,5,14,14,2,0,1
SN,Africa,5,13,13,3,2,3
MW,Africa,5,10,10,2,3,2
TH,Outside Africa,5,10,10,2,2,3
IE,Outside Africa,5,8,8,2,1,2
AT,Outside Africa,5,7,6,0,3,2
